Age,Frequency,Death_toll,Injuries,Casualties,Year,Vehicle_type,所有死傷裡面造成死亡的比例,所有死傷裡面造成受傷的比例,有車禍但未受傷或死亡人數,死亡比例,受傷比例,死傷比例
成年人(25-64歲),2292,14,1999,2013,107,eletronic,0.006954793840039742,0.9930452061599603,279,0.006108202443280977,0.8721640488656196,0.8782722513089005
高齡者(65歲以上),1270,20,1191,1211,107,eletronic,0.016515276630883566,0.9834847233691164,59,0.015748031496062992,0.9377952755905512,0.9535433070866142
少年(13-17歲),922,0,808,808,107,eletronic,0.0,1.0,114,0.0,0.8763557483731019,0.8763557483731019
年輕人(18-24歲),691,1,598,599,107,eletronic,0.001669449081803005,0.998330550918197,92,0.001447178002894356,0.8654124457308249,0.8668596237337193
不明,88,1,72,73,107,eletronic,0.0136986301369863,0.9863013698630136,15,0.011363636363636364,0.8181818181818182,0.8295454545454546
兒童(0-12歲),30,0,28,28,107,eletronic,0.0,1.0,2,0.0,0.9333333333333333,0.9333333333333333
成年人(25-64歲),2966,9,2581,2590,108,eletronic,0.0034749034749034747,0.9965250965250966,376,0.0030343897505057315,0.8701955495616993,0.8732299393122049
高齡者(65歲以上),1628,22,1512,1534,108,eletronic,0.014341590612777053,0.9856584093872229,94,0.013513513513513514,0.9287469287469288,0.9422604422604423
少年(13-17歲),1162,1,1009,1010,108,eletronic,0.0009900990099009901,0.999009900990099,152,0.0008605851979345956,0.8683304647160068,0.8691910499139415
年輕人(18-24歲),885,2,758,760,108,eletronic,0.002631578947368421,0.9973684210526316,125,0.0022598870056497176,0.8564971751412429,0.8587570621468926
不明,160,1,140,141,108,eletronic,0.0070921985815602835,0.9929078014184397,19,0.00625,0.875,0.88125
兒童(0-12歲),60,0,51,51,108,eletronic,0.0,1.0,9,0.0,0.85,0.85
成年人(25-64歲),3437,21,2966,2987,109,eletronic,0.007030465349849347,0.9929695346501507,450,0.006109979633401222,0.8629618853651441,0.8690718649985453
高齡者(65歲以上),1909,25,1777,1802,109,eletronic,0.013873473917869035,0.9861265260821309,107,0.013095861707700367,0.9308538501833421,0.9439497118910424
少年(13-17歲),1446,2,1243,1245,109,eletronic,0.001606425702811245,0.9983935742971888,201,0.0013831258644536654,0.859612724757953,0.8609958506224067
年輕人(18-24歲),936,0,800,800,109,eletronic,0.0,1.0,136,0.0,0.8547008547008547,0.8547008547008547
不明,173,0,143,143,109,eletronic,0.0,1.0,30,0.0,0.8265895953757225,0.8265895953757225
兒童(0-12歲),37,0,35,35,109,eletronic,0.0,1.0,2,0.0,0.9459459459459459,0.9459459459459459
成年人(25-64歲),4303,26,3740,3766,110,eletronic,0.006903876792352629,0.9930961232076474,537,0.006042296072507553,0.8691610504299326,0.8752033465024401
高齡者(65歲以上),2161,35,1987,2022,110,eletronic,0.01730959446092977,0.9826904055390703,139,0.016196205460434984,0.9194817214252661,0.9356779268857011
少年(13-17歲),1504,0,1309,1309,110,eletronic,0.0,1.0,195,0.0,0.870345744680851,0.870345744680851
年輕人(18-24歲),1057,2,915,917,110,eletronic,0.0021810250817884407,0.9978189749182116,140,0.001892147587511826,0.8656575212866604,0.8675496688741722
不明,187,0,146,146,110,eletronic,0.0,1.0,41,0.0,0.7807486631016043,0.7807486631016043
兒童(0-12歲),42,0,39,39,110,eletronic,0.0,1.0,3,0.0,0.9285714285714286,0.9285714285714286
成年人(25-64歲),4557,26,3981,4007,111,eletronic,0.006488644871474919,0.9935113551285251,550,0.005705508009655475,0.8736010533245556,0.8793065613342111
高齡者(65歲以上),2300,37,2126,2163,111,eletronic,0.017105871474803514,0.9828941285251965,137,0.01608695652173913,0.9243478260869565,0.9404347826086956
少年(13-17歲),1938,2,1712,1714,111,eletronic,0.0011668611435239206,0.9988331388564761,224,0.0010319917440660474,0.8833849329205367,0.8844169246646026
年輕人(18-24歲),1151,4,995,999,111,eletronic,0.004004004004004004,0.995995995995996,152,0.0034752389226759338,0.8644656820156386,0.8679409209383145
不明,261,0,216,216,111,eletronic,0.0,1.0,45,0.0,0.8275862068965517,0.8275862068965517
兒童(0-12歲),53,0,49,49,111,eletronic,0.0,1.0,4,0.0,0.9245283018867925,0.9245283018867925
成年人(25-64歲),178965,808,182548,183356,107,motor,0.004406727895460197,0.9955932721045399,-4391,0.004514849272204062,1.0200206744335485,1.0245355237057525
年輕人(18-24歲),109142,231,104278,104509,107,motor,0.0022103359519275853,0.9977896640480725,4633,0.002116508768393469,0.9554342049806673,0.9575507137490609
高齡者(65歲以上),36490,531,33639,34170,107,motor,0.015539947322212467,0.9844600526777876,2320,0.014551932036174295,0.921869005206906,0.9364209372430803
少年(13-17歲),7553,52,6677,6729,107,motor,0.007727745578837866,0.9922722544211622,824,0.0068846815834767644,0.8840195948629683,0.8909042764464451
不明,62,0,26,26,107,motor,0.0,1.0,36,0.0,0.41935483870967744,0.41935483870967744
兒童(0-12歲),34,2,28,30,107,motor,0.06666666666666667,0.9333333333333333,4,0.058823529411764705,0.8235294117647058,0.8823529411764706
